date_found,last_seen,id,reg_id,published,name,org,price,deadline,status,cpvs,label,attachment_count,pdf_count,excel_count,image_count,link
"2026-04-21","2026-08-15 17:24","680909","NAT260008101","21.04.2026","45100000-Site preparation work","Self-governung Entity Tchiatura Municipality","280`475.00 GEL","05.05.2026","No bids received","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=680909"
"2026-04-22","2026-08-15 17:24","683241","NAT260008117","22.04.2026","45100000-Site preparation work","Gurdjaani Municipality","57`431.00 GEL","04.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=683241"
"2026-04-22","2026-08-15 17:24","683214","NAT260008118","22.04.2026","45100000-Site preparation work","Tbilisi Krtsanisi District Gamgeoba","407`936.00 GEL","13.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=683214"
"2026-04-22","2026-08-15 17:24","679787","NAT260008182","22.04.2026","45100000-Site preparation work","Gori MUnicipality City Hall","330`265.00 GEL","13.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=679787"
"2026-04-22","2026-08-15 17:24","681121","NAT260008221","22.04.2026","45100000-Site preparation work","RUSTAVI CITY MUNICIPALITY","3`000`000.00 GEL","13.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=681121"
"2026-04-23","2026-08-15 17:24","683732","NAT260008243","23.04.2026","45100000-Site preparation work","Tbilisi Krtsanisi District Gamgeoba","255`173.00 GEL","14.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=683732"
"2026-04-23","2026-08-15 17:24","683802","NAT260008342","23.04.2026","45100000-Site preparation work","Tbilisi Vake District Gamgeoba","692`605.00 GEL","15.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=683802"
"2026-04-24","2026-08-15 17:24","684170","NAT260008446","24.04.2026","45100000-Site preparation work","v. Didinedzi Public School","516.00 GEL","05.05.2026","No bids received","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=684170"
"2026-04-28","2026-08-15 17:24","682831","NAT260008572","28.04.2026","45100000-Site preparation work","Signagi Municipality","187`184.00 GEL","11.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=682831"
"2026-04-28","2026-08-15 17:24","684048","NAT260008577","28.04.2026","45100000-Site preparation work","Signagi Municipality","25`419.00 GEL","11.05.2026","No bids received","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=684048"
